Gene.symbol	Endothelial cells	Dental Pulp Cells	Glial cells	Lymphocytes	Perivascular Cells	Macrophages	Pre-odontoblasts	"Stratum Intermedium" and "Stellate Reticulum"	early-stage pulp cell	Vascular Smooth Muscle Cells	Outer Enamel Epithelium	Osteoblasts	Ameloblasts	innate immune cells
Tbxas1	0.09	0.13	0.02	0.7	0.06	2.24	0.01	0.03	0.08	0.02	0.11	0.04	0.02	0.4
Msr1	0.05	0.09	0.06	0.56	0.06	2.26	0.02	0.01	0.03	0.04	0	0.04	0.06	0.05
Cd86	0.07	0.07	0	0.81	0.06	2.48	0.07	0	0.03	0.01	0.04	0.04	0.03	0.12
Siglec1	0.1	0.13	0.05	0.23	0.15	2.41	0.2	0.03	0.1	0.1	0.07	0.13	0.13	0.11
Prune2	0.03	0.24	0.04	0.09	0.06	1.77	0.23	0.06	0.09	0.13	0.05	0.06	0.04	0.03
Pf4	0.36	0.15	0.02	0.15	0.15	2.62	0.14	0.04	0.08	0.1	0.1	0.15	0.05	0.09
P2ry12	0.06	0.11	0.15	0.2	0.05	2.4	0.07	0.01	0.05	0.04	0.01	0.04	0.04	0.06
Slc9a9	0.09	0.07	0.02	0.5	0.12	1.99	0.03	0.09	0.21	0.32	0.11	0.14	0.03	0.11
P2ry6	0.23	0.11	0.03	1.18	0.19	2.79	0.04	0.18	0.07	0.11	0.08	0.05	0.08	0.05
Adap2	0.05	0.08	0.01	0.41	1.56	2.51	0.03	0	0.02	0	0.01	0.03	0	0.06
Fgd2	0.08	0.08	0.02	1.15	0.04	2.48	0.01	0.69	0.01	0.03	0.64	0.02	0.23	0.16
Col4a2	3.32	0.8	2.51	0.34	3.32	0.26	0.44	1.11	2.34	2.21	1.27	0.51	0.3	0.1
Col4a1	3.44	0.72	2.72	0.12	3.57	0.32	0.42	1.38	2.27	2.1	1.42	0.38	0.17	0.21
Nid1	2.56	1.93	2.83	0.27	2.68	0.1	1.94	0.47	3.45	2.72	0.17	1.41	0.06	0.15
Cd200	3.19	0.6	2.54	0.26	2.19	0.13	0.5	0.31	1.1	2.34	0.4	1.44	0.17	0.16
Serpine2	0.35	0.79	3.46	0.28	3.26	0.14	0.91	1.24	2.62	2.81	1.99	0.46	0.23	0.31
Mcam	2.53	0.12	3.19	0.08	2.98	0.1	0.15	1.02	0.52	0.39	1.01	0.13	0.25	0.17
Col18a1	1.34	0.17	3.35	0.02	2.36	0.07	0.08	1.34	0.11	0.67	1.07	0.19	0.18	0.02
Tm4sf1	3.2	0.17	2.32	0.06	2.78	0.1	0.06	0.08	0.38	0.25	0.15	0.13	0.13	0.06
Itga1	1.58	0.21	2.82	0.23	2.66	0.05	0.21	0.14	0.17	0.46	0.29	0.12	0	0
Sorbs1	1.64	1.1	3.25	0.24	2.03	0.12	0.8	0.41	0.99	1	0.44	0.48	0.11	0.03
Crip2	3.16	0.28	2.87	0.08	2.75	0.09	0.17	1.27	0.38	0.46	0.37	1.23	2.75	0.05
Aqp1	2.91	1.5	0.38	0.23	0.62	0.24	0.44	0.16	0.21	0.78	0.25	3.07	0.53	0.19
Ppap2a	3.26	0.66	1.62	0.22	0.75	0.07	0.56	0.75	1.19	1.05	0.42	1.72	2.16	0.07
Eng	3.67	0.94	2.2	0.47	2.1	0.76	0.47	0.08	1.38	1.49	0.24	1.45	0.13	0.1
Slc9a3r2	3.14	0.66	1.6	0.07	1.55	0.15	0.57	0.39	0.51	0.66	0.38	0.28	0.26	0.18
Tmem204	3.01	0.41	1.01	0.15	1.69	0.16	0.81	0.12	1.66	1.17	0.09	1.57	0.31	0.12
Tspan18	2.75	0.66	0.15	0.06	0.32	0.1	0.23	0.09	0.98	1.35	0.13	0.54	0.04	0.06
Ramp2	3	0.89	0.3	0.09	0.52	0.03	0.94	0.44	1.74	1.19	0.71	1.07	0.02	0.05
Nipal2	0.04	0.47	0.05	0.04	0.21	0.02	0.36	0.91	0.38	0.33	1.08	0.45	2.64	0.01
Gng4	0.05	0.11	0.04	0.02	0.07	0.04	0.14	2.06	1.31	0.29	0.36	0.26	3.08	0.03
Cxadr	0.1	0.25	0.02	0.07	0.06	0.06	0.21	1.87	0.16	0.1	1.38	0.2	2.75	0.13
Cyb561	0.8	0.05	0.01	0.09	0.02	0.01	0.02	1.48	0.05	0.13	0.86	0.01	2.57	0.01
Lamb3	0.23	0.14	0.06	0.17	0.12	0.11	0.11	2.28	0.05	0.07	1.23	0.23	3.07	0.11
Klf5	0.03	0.09	0.13	0.02	0.14	0.02	0.38	1.3	0.03	0.04	0.65	0.34	2.96	1.02
Sfn	0.2	0.03	0.02	0.12	0.03	0.08	0.08	1.95	0.07	0.05	1.8	0.1	2.73	0.14
Pkp1	0.04	0.11	0.06	0.04	0.02	0.04	0.14	1.71	0.01	0.01	1.52	0.05	2.91	0
Dsc2	0.05	0.06	0	0.02	0.02	0	0.09	1.3	0.13	0.04	1.57	0.04	3.05	0
Trim29	0.04	0.1	0.01	0.02	0	0.04	0.15	1.86	0.02	0	1.35	0.06	3.16	0.01
Gpr115	0.04	0.12	0.03	0.06	0.03	0.02	0.02	2.55	0.08	0	1.77	0.12	3.24	0.07
S100a14	0.03	0.01	0.01	0	0	0	0	0.75	0	0	0.38	0.01	2.55	0.01
Serpinb5	0.01	0.06	0	0	0	0.05	0	1.23	0.02	0.01	1.68	0	2.91	0.01
Lad1	0.08	0.04	0.05	0.09	0.05	0.03	0.02	1.13	0	0	1.07	0.06	2.57	0.01
Zfp185	0.04	0.08	0.01	0.01	0.03	0.02	0	0.56	1.07	0.29	1.53	0.2	2.69	0
Mboat1	0.05	0.14	0.1	0.28	0.24	0.06	0.5	0.63	0.86	0.08	0.15	0.33	2.39	0.03
Mt2	0.08	0.04	0.75	0.25	0.4	0.37	0.02	0.85	0.02	0.1	1.08	0.06	2.8	0.01
Serpinb8	0.14	0.06	0.17	0.26	0.02	1.1	0.02	0.33	0.07	0.03	0.8	0.22	2.72	0.03
Ntrk2	0.03	0.33	1.05	0	0.27	0.03	0.35	0.94	0.05	0.06	0.98	0.25	2.58	0
Ckmt1	0.12	0.05	0.05	0.11	0.07	0.1	0.04	1.87	0.08	0.03	2.02	0.11	3.24	0.08
Tns4	0.03	0.09	0.03	0.29	0	0.42	0.01	0.33	0.04	0.08	1.46	0.04	3.03	0
Kcnk1	0.07	0.12	0.07	0.1	0.06	0.04	0.06	1.65	0.28	0.39	1.93	0.09	3.42	0.06
Dmkn	0.04	0.17	0.02	0.2	0.01	0.09	0	0.46	0	0.03	1.34	0.06	3.3	0.08
Amtn	0.12	0.12	0.04	0.15	0.08	0.13	0.05	0.54	0.07	0.05	0.49	0.07	2.85	0.09
Lama3	0.78	0.17	0.08	0	0.03	0.05	0.16	0.66	0.02	0.05	0.7	0.82	2.88	0.04
Palmd	1.56	0.13	0.06	0.02	0.02	0.05	0	0.47	0.03	0	0.8	0.01	2.55	0.04
Gm17660	0.14	0.07	0.01	0.07	0.06	0.06	0.05	0.06	0.05	0.06	0.49	0.23	4.79	0.02
Anxa8	0.07	0.08	0.01	0.1	0.07	0.07	0.03	0.46	0.06	0.02	0.43	0.17	4.19	0.01
Odam	0.44	0.21	0.06	0.3	0.12	0.38	0.2	0.49	0.15	0.11	0.65	0.58	5.46	0.21
Flt3l	0.24	0.07	0.31	0.32	0.24	0.21	0.1	0.09	0.09	0.34	0.22	0.1	2.54	0.13
Sema3d	0.08	0.2	0.39	0	0.08	0.02	0.12	1.03	0.14	0.22	0.37	0.19	2.78	0.02
Gpr87	0.01	0.02	0	0	0	0.01	0	0.27	0	0.06	0.33	0.02	2.54	0
Dsg3	0.02	0.03	0.02	0	0	0.01	0	0.11	0	0.01	0.18	0.03	2.59	0
Ngef	0	0.07	0.02	0	0.02	0.01	0.04	0.18	0.09	0.06	0.13	0.1	2.27	0.03
Defb1	0.01	0.01	0.02	0	0	0.01	0	0.19	0	0	0.24	0.01	2.22	0
Wdr72	0.01	0.06	0	0.02	0.06	0.04	0.01	0.21	0.01	0.01	0.32	0.04	2.8	0.02
Fam25c	0.02	0	0	0	0	0	0.01	0.06	0	0	0	0.03	2.47	0
Slc5a8	0.01	0.04	0	0	0	0.01	0.02	0.03	0.05	0	0.08	0	2.3	0
Nat8l	0.01	0.05	0.08	0.34	0.05	0.08	0.02	0.19	0	0.01	0.05	0.03	2.31	0.28
2200002D01Rik	0.26	0.02	0.09	0.05	0.05	0.06	0.01	0.21	0.02	0	0.25	0	2.47	0.01
Sh3rf2	0.06	0.1	0.05	0.02	0.02	0.01	0.06	0.39	0.02	0.04	0.55	0.01	2.59	0.02
Cftr	0.04	0.05	0.03	0	0	0.01	0.06	0.57	0.02	0	0.04	0.01	2.99	0
Ggt1	0.07	0.04	0.03	0.03	0.01	0.02	0.03	0.67	0.04	0.01	0.31	0.05	2.88	0.12
Cpe	0.55	1.28	0.18	0.22	3.32	0.2	2.65	1.34	2.71	2.73	1.9	3	3.64	0.11
Scara3	0.26	2.51	0.09	0.22	1.85	0.19	3.08	2.02	1.4	1.82	0.51	2.7	3.21	0.02
Kidins220	1.29	2.17	1.12	1.17	1.24	1.07	2.11	2.5	1.87	1.56	2.62	1.63	3.83	1.11
Sparcl1	3.31	1.09	0.92	0.26	3.43	0.3	0.28	0.3	1.52	0.28	2.71	3.18	3.57	0.26
Sorbs2	1.71	1.74	1.82	0.06	1.42	0.11	1.93	0.78	0.18	0.2	0.42	0.24	3.07	0.11
Id4	0.16	1.13	0.5	0.06	1.32	0.11	0.17	1.5	0.15	0.42	1.84	0.3	3.02	0.01
Clu	1.96	1.33	0.57	0.41	0.42	0.39	1.24	2.03	0.29	1.01	1.72	0.84	4.83	0.26
Gsta4	0.08	1.87	0.18	0.11	0.82	0.14	1.93	0.65	1.19	1.86	0.94	0.84	3.66	0.02
Ide	0.77	0.81	0.52	0.91	0.74	0.64	1.06	1.78	1.46	1.21	1.54	0.67	3.18	0.16
Ambn	0.42	1.83	0.48	0.61	0.45	0.6	3.3	1.77	0.69	0.48	1.08	0.91	2.11	0.57
Higd1a	0.51	0.91	0.56	0.85	0.74	0.45	0.91	1.18	0.9	0.58	1.16	0.9	3.07	0.26
Gss	0.43	0.56	0.38	0.27	0.27	0.38	0.69	1.2	0.73	0.38	0.84	0.49	2.87	0.1
Foxq1	0.04	0.24	0	0.01	0.06	0.03	0.2	0.17	1.75	0.83	0.28	1.6	2.85	0.04
Lgr6	0.05	0.69	0.45	0.02	0.07	0.04	1.11	0.31	1.01	0.7	0.11	1.45	2.94	0.04
Btbd3	1.39	0.52	0.97	0.15	1.05	0.32	0.49	0.75	0.62	0.68	1.03	0.41	3.14	0.01
Avpi1	0.53	0.88	0.16	0.57	0.62	0.44	0.62	1.44	0.54	0.58	1.68	1.24	3.19	0.05
Cdkn1a	1.02	0.22	1.21	1.09	1.4	1.14	0.61	1.82	0.24	0.3	1.53	1.19	3.22	0.18
Gpc1	0.09	0.5	1.71	0.28	1.23	0.05	0.82	1.48	1.31	1.21	2.04	1.87	3.27	0.53
Itga6	1.68	0.17	1.86	0.15	0.44	0.94	0.23	1.98	0.07	0.02	2.12	0.08	3.16	0.19
F11r	2.91	0.07	0.02	0.73	0.59	1.64	0.04	2.32	0.16	0.09	2.2	0.12	3.04	0.1
Mt1	0.78	0.7	1.68	1.26	1.36	2.73	0.55	1.54	0.47	0.53	2.41	0.88	3.63	0.42
Olfml3	0.26	2.48	1.06	0.26	0.9	2.22	1.07	0.37	2.7	2.73	0.56	2.37	0.45	0.16
Igf1	0.36	1.31	0.16	0.08	1.74	1.73	0.6	0.14	3.31	2.98	0.93	1.43	0.21	0.23
Gpx3	0.52	1.41	0.28	0.94	0.97	2.09	0.68	0.59	1.64	3.87	2.26	1.17	3.66	0.73
Slc20a2	0.57	2.23	0.64	0.53	0.96	0.41	1.34	2.21	0.72	0.84	2.3	0.73	2.77	0.27
Alpl	0.29	1.51	0.12	0.37	1.37	0.3	1.62	1.73	1.43	2.62	2.64	0.4	1.24	0.27
Tnc	0.18	2.85	0.81	0.24	0.31	0.24	1.15	0.29	1.41	1.09	2.65	1.57	0.86	0.12
Enpp2	0.82	2.86	0.31	0.34	1.15	0.26	0.97	1.39	2.27	0.86	1.19	0.55	0.36	0.22
Hey1	0.46	1.77	0.14	0.13	1.35	0.27	1.01	0.98	0.65	0.97	0.37	1.07	0.05	0.06
Chka	0.54	2.76	0.76	0.59	0.89	1.36	2.23	0.83	1.11	0.86	0.73	1.14	0.38	0.35
Cfh	0.62	2.11	0.12	0.69	3.06	2.01	0.85	0.09	0.29	1.07	0.71	0.48	0.05	0.08
Scube1	0.46	2.31	0.06	0.07	0.16	0.1	2.86	0.05	0.26	0.37	0.11	0.43	0.14	0.05
Col23a1	0.15	1.99	0.21	0.15	0.8	0.1	1.4	0.36	0.86	0.75	0.39	0.38	0	0.03
Olfml1	0.15	2.71	0.29	0.14	0.16	0.22	2.37	0.03	1.23	1.65	0.09	0.53	0.15	0.1
Rspo4	0.28	3.12	0.16	0.3	0.38	0.39	2.66	0.1	2.01	1.06	0.09	0.56	0.2	0.13
Ifitm1	0.13	2.53	0.08	0.63	1.55	0.3	2.1	0.12	0.35	0.3	0.13	0.48	0.11	1.21
Fgfr3	0.59	2.18	0.05	0.08	0.53	0.07	1.1	0.5	0.32	0.92	0.5	0.77	0.16	0.02
Fmod	0.41	2.91	0.25	0.38	0.83	0.48	0.76	0.1	0.34	0.81	0.43	0.55	0.35	0.24
St8sia6	0.23	1.48	0	0.43	0.06	0.09	0.22	0.16	0.04	0.02	0.19	0.23	0	0.01
Stc2	0.07	1.48	0.06	0.1	0.15	0.05	0.31	0.07	0.1	0.07	0.01	0.28	0.25	0.02
Car12	0.06	1.89	0.05	0.16	0.07	0.06	1.61	0.87	0.05	0.05	0.14	0.33	0.06	0.01
Kcnj15	0.27	1.68	0.06	0.1	0.09	0.06	0.18	0.35	0.14	0.59	0.84	0.27	0.21	0.02
Enpp6	0.79	1.85	0.03	0.12	0.12	0.09	1.08	0.12	0.07	0.12	0.06	0.35	0.17	0.06
Lyn	1.83	0.23	0.3	2.74	0.58	3.16	0.19	0.19	0.13	0.49	0.33	0.11	2.86	2.72
4632428N05Rik	0.76	0.21	0.12	2.13	0.32	3.26	0.09	0.37	0.56	1.28	0.31	0.6	1.17	3.14
Lcp1	1.46	0.16	0.06	3.04	0.09	3.22	0.13	0.1	0.23	1.1	0.22	0.15	0.29	3.75
Srgn	3.02	0.24	0.09	3.2	0.36	2.88	0.18	0.08	0.24	0.74	0.27	0.22	0.28	2.89
Arhgdib	1.08	0.37	0.02	3.42	1.74	2.75	0.51	0.66	0.44	0.95	0.41	0.19	0.15	3.82
Lyz2	0.96	0.86	0.39	3.14	0.89	4.33	0.74	0.48	0.97	0.99	0.88	1.02	0.91	4.42
Sfpi1	0.08	0.07	0.03	2.33	0.03	2.69	0.03	0.01	0.07	0.08	0.09	0.06	0	2.82
Lilrb4	0.09	0.08	0	1.74	0.07	2.82	0.04	0.01	0.08	0.06	0	0.06	0.11	2.93
Myo1f	0.05	0.1	0.05	2.34	0	2.17	0.03	0.06	0.09	0.04	0.07	0.06	0.03	3.05
Selplg	0.04	0.06	0.01	2.82	0.01	2.21	0.03	0.03	0.05	0.02	0.02	0.09	0.12	2.85
Cd52	0.07	0.07	0.02	2.75	0.04	2.48	0.03	0.02	0.08	0.03	0.09	0.04	0	3.42
Ptprc	0.13	0.2	0.04	3.12	0.09	3.26	0.12	0.07	0.08	0.17	0.13	0.18	0.06	3.37
Coro1a	0.12	0.11	0.05	3.38	0.18	2.66	0.2	0.15	0.16	0.2	0.15	0.21	0.16	3.6
Rac2	0.16	0.15	0.03	3.26	0.23	2.61	0.05	0.06	0.16	0.11	0.16	0.14	0.06	3.72
Itgb2	0.2	0.21	0.03	2.69	0.23	2.29	0.13	0.17	0.22	0.23	0.16	0.18	0.44	3.24
Laptm5	0.3	0.23	0.08	3.45	0.18	3.66	0.26	0.08	0.09	0.18	0.17	0.31	0.12	3.19
Cd53	0.16	0.17	0.02	3.22	0.12	3.36	0.12	0.06	0.11	0.11	0.07	0.2	0.16	3.16
Tyrobp	0.29	0.29	0.06	3.02	0.25	3.65	0.19	0.15	0.22	0.14	0.26	0.25	0.21	3.72
Fcer1g	0.87	0.44	0.09	2.83	0.35	3.62	0.31	0.12	0.33	0.25	0.38	0.33	0.44	3.53
Cybb	0.21	0.21	0.05	2.38	0.21	3.51	0.13	0.08	0.14	0.1	0.18	0.17	0.23	2.58
Lilrb3	0.02	0.07	0.02	2.03	0.05	1.66	0.02	0.03	0.05	0.03	0.06	0.05	0.04	2.85
Nfam1	0.16	0.07	0.01	2.23	0.06	2.06	0.08	0.01	0.02	0.07	0.06	0.07	0	3.04
Syk	0.24	0.18	0.02	2.12	0.08	2.11	0.08	0.17	0.08	0.07	0.13	0.11	0.04	2.66
Evi2b	0.15	0.12	0.11	2.43	0.14	1.79	0.18	0.15	0.09	0.2	0.03	0.07	0.05	3.02
Hmha1	0.09	0.19	0.32	2.68	0.37	2.22	0.3	0.1	0.06	0.06	0.02	0.09	0.35	2.84
Itgam	0.03	0.07	0.03	1.83	0.07	1.74	0.03	0.04	0.04	0.11	0.03	0.05	0.11	3.18
Ncf1	0.12	0.08	0.01	1.81	0.05	2.16	0.11	0.02	0.1	0.09	0.07	0.06	0	3.35
Slfn2	1.05	0.05	0.02	2.07	0.04	2.07	0.03	0.04	0.12	0.03	0.07	0.09	0.03	3.19
Hcls1	0.67	0.12	0.02	2.44	0.03	2.57	0.08	0.01	0.13	0.03	0.07	0.1	0.04	2.7
Nckap1l	0.1	0.17	0.03	2.32	0.18	2.74	0.06	0.06	0.13	0.07	0.11	0.09	0	2.04
Gpsm3	0.23	0.09	0.59	1.81	1.01	1.68	0.07	0.1	0.22	0.39	0.07	0.18	0.03	2.69
Ncf2	0.12	0.15	0.04	2	1.2	2.13	0.11	0.09	0.08	0.11	0.08	0.07	0.08	2.87
Alox5ap	0.09	0.16	0.02	2.76	0.05	1.78	0.16	0.11	0.95	0.44	0.13	0.72	0.2	3.61
Cfp	0.18	0.23	0.05	1.54	0.24	1.01	0.22	0.28	0.21	0.18	0.31	0.27	0.07	2.17
Prkcb	0.14	0.18	0.03	1.49	0.6	2.06	0.09	0.58	0.1	0.88	0.19	0.08	0.03	2.67
Ptpn6	0.1	0.17	0.2	2.79	0.22	2.91	0.11	0.88	0.1	0.05	0.69	0.11	0.7	2.78
Plbd1	0.14	0.18	0.02	2.28	0.1	2.38	0.31	0.41	0.37	0.22	0.26	0.27	1.6	2.99
Cytip	0.03	0.12	0.02	2.61	0.16	0.86	0.06	0.02	0.08	0.01	0.1	0.06	0.08	2.09
Msrb1	0.24	0.56	0.34	1.17	0.64	0.72	0.5	0.53	0.41	0.37	0.6	0.39	0.52	2.75
Mgst1	0.83	0.07	0.08	0.99	0.12	0.57	0.01	0.13	0.12	0.37	0.38	0.08	0.1	2.54
F630028O10Rik	0.02	0.03	0	1.02	0.02	0.81	0.02	0.04	0.02	0.03	0.02	0.02	0.02	2.73
Hk3	0.02	0.1	0.01	0.64	0.08	1.13	0.01	0.02	0.02	0.02	0.01	0.01	0	2.57
Csf3r	0.06	0.05	0	1.02	0.05	1.23	0.02	0.05	0.04	0.03	0.02	0.04	0.04	3.16
Gp49a	0.06	0.05	0.02	1.05	0.01	1.87	0.01	0.01	0.03	0.04	0.01	0.05	0	2.89
Ncf4	0.05	0.08	0.01	1.71	0.03	2.15	0.04	0.03	0.01	0.02	0.01	0.06	0	2.58
Dok3	0.31	0.12	0.05	1.34	0.05	1.87	0.09	0.09	0.1	0.09	0.16	0.13	0.07	2.57
Igsf6	0.11	0.13	0.02	1.61	0.09	2.46	0.07	0.06	0.09	0.06	0.15	0.11	0.11	2.62
Lrrc17	0.04	0.97	0.03	0.08	0.35	0.08	0.56	0.02	2.52	0.38	0.09	2.95	0.02	0.05
Nts	0.06	0.65	0.04	0.03	0.51	0.06	1.4	0	2.5	1.89	0.05	2.71	0.1	0.11
Ptgfr	0.06	0.19	0.04	0.03	0.27	0.06	0.08	0.03	1.87	2.19	0.11	2.55	0.09	0.01
Angptl1	0.17	0.77	0.02	0.06	0.13	0.12	0.39	0.38	1.26	0.46	0.09	2.67	0.14	0.06
Bmp3	0.04	0.1	0.03	0	0.03	0.06	0.01	0.05	2.13	0.12	0.07	2.54	0.03	0.06
Lrrc15	0.03	0.25	0.03	0.1	0.21	0.08	1.76	0.01	1.99	0.24	0.1	2.77	0.16	0.07
Dkk2	0.95	0.14	0.03	0.04	0.29	0.03	0.22	0.02	2.38	0.43	0.03	0.77	0	0.04
Lef1	1.35	0.22	0.82	0.14	0.42	0.07	0.91	0.06	2.63	0.49	0.06	1.62	0.05	0.04
Stmn2	0.37	0.05	0	0.01	0.03	0.03	0.04	0.13	0.11	0.01	0.04	2.51	1.62	0.01
Tnn	0.16	0.78	0.06	0.12	0.09	0.16	0.35	0.12	1.55	0.45	0.2	3.33	0.46	0.12
Ibsp	0.53	0.26	0.05	0.32	0.21	0.46	0.29	0.19	1.46	0.26	0.65	3.54	1.08	0.44
Jag1	1.08	0.46	1.52	0.12	2.91	0.17	0.42	1.92	1.05	0.92	1.09	0.36	0.86	0.12
Epas1	3.31	1.25	0.23	0.26	3.3	0.29	0.24	0.59	0.13	0.29	1.39	0.39	0.6	0.13
Sept4	2.29	1.52	1.16	0.06	3	0.15	0.91	0.14	1.07	1.36	0.26	0.92	1.02	0.07
Gucy1a3	0.18	0.85	0.05	0.08	2.89	0.09	0.17	0.21	0.93	1.24	0.11	0.13	0.07	0.02
Atp1b2	0.16	0.48	1.23	0.08	3.03	0.05	0.2	0.1	0.37	1.13	0.1	0.13	0.04	0.01
Ccdc80	0.14	0.66	0.06	0.11	2.49	0.05	0.19	0.03	0.41	2.59	0.12	0.4	0.02	0.21
Mylk	1.27	1.2	0.15	0.07	2.97	0.18	0.15	0.07	1.07	2.27	0.14	0.39	0.06	0.09
Aspn	0.07	0.07	0.01	0.05	3.23	0.06	0.06	0.04	0.12	0.16	0.1	1	0.1	0.03
Rgs5	0.36	0.26	0.12	0.21	4.09	0.46	0.19	0.07	0.16	0.18	0.08	0.17	0	0.12
Rasl12	0.03	0.07	0.08	0.05	2.41	0.02	0.13	0	0.02	0.01	0	0.04	0	0.01
Ndufa4l2	0.05	0.02	0.09	0.01	2.44	0.02	0	0.03	0.01	0	0.08	0.22	0.16	0
Aoc3	0.06	0.02	0	0.01	2.16	0.01	0	0	0	0.3	0.04	0.02	0	0
Steap4	0.14	0.04	0.03	0.02	2.55	0.05	0	0.01	0.05	0.88	0.07	0.04	0	0.08
Gucy1b3	0.2	0.36	0.04	0.05	2.4	0.04	0.55	0.35	0.52	0.41	0.08	0.18	0	0
Mgp	1.3	0.14	0.03	0.18	3.33	0.19	0.07	0.24	0.14	0.85	0.28	0.13	0.1	0.1
Heyl	0.07	0.11	1.23	0.03	2.82	0.05	0.09	0.67	0.14	0.64	0.16	0.06	0	0.03
Notch3	0.06	0.41	0.06	0.06	2.93	0.04	0.27	0.66	0.11	0.76	0.22	0.1	0.09	0.03
Col5a3	0.12	0.18	1.59	0.04	2.57	0.06	0.11	0.1	0.09	0.08	0.03	1.38	0.19	0.04
Calcrl	2.54	0.39	0.03	0.44	0.72	0.5	0.11	0.03	0.03	0.04	0.28	0.11	0	0.52
Prkch	2.51	0.14	0	0.81	0.1	1.01	0.12	0.52	0.19	0.19	0.66	0.15	0.64	0.12
Pde2a	2.66	0.08	0.06	0.62	0.21	0.63	0.03	0.05	0.03	0.02	0.06	0.05	0.03	1.96
Rgcc	2.46	0.39	0.28	0.29	0.09	0.1	0.72	0	0.4	0.19	0.02	0.38	0	0.63
Cav2	2.85	0.11	0.57	0.35	1.24	0.48	0.02	0.6	0.05	0.06	0.26	0.32	1.98	0.01
Flt1	3.39	0.36	0.06	0.31	0.45	0.32	0.29	0.19	0.15	0.18	0.41	0.4	1.98	0.19
Esam	3.57	0.11	0.04	0.12	2.54	0.1	0.08	0.07	0.13	0.1	0.09	0.09	0.07	0.09
Cav1	3.41	0.1	0.18	0.06	1.55	0.08	0.04	0.41	0.22	0.1	0.25	0.37	0.28	0.03
Rasip1	2.59	0.19	0.06	0.06	0.08	0.05	0.22	0.34	0.31	0.42	0.38	0.1	0.23	0.13
Kank3	2.58	0.17	0.3	0.26	0.06	0.45	0.31	0.12	0.16	0.05	0.12	0.06	0.16	0.05
Rasgrp3	2.27	0.1	0.05	0.25	0.1	0.52	0.05	0.03	0.06	0.05	0.04	0.03	0	0.02
Arhgef15	2.43	0.36	0	0	0.19	0.02	0.22	0.12	0.24	0.09	0.04	0.23	0	0.03
Icam2	2.5	0.06	0.01	0.82	0.22	0.14	0.03	0.08	0.07	0.04	0.13	0.05	0.06	0.24
Tmem88	2.81	0.14	0.06	0.09	0.08	0.52	0.09	0.23	0.24	0.12	0.32	0.13	0.04	0.03
Ly6a	3.02	0.06	0.03	0.58	0.17	0.13	0.05	0.01	0.28	0.4	0.1	1.28	0.27	0.11
Slco2a1	2.56	0.1	0.04	0.04	0.09	0.02	0.19	0.04	0.09	0.03	0.31	0.1	0.28	0
Clec14a	2.96	0.24	1.09	0.04	0.07	0.04	0.09	0.03	0.22	0.57	0.06	0.19	0	0.05
Egfl7	3.56	0.25	0.03	0.17	0.19	0.13	0.71	0.45	0.26	0.13	0.32	0.1	0.18	0.1
Gimap6	3	0.12	0.02	0.51	0.6	0.25	0.05	0	0.13	0.06	0.05	0.12	0.04	0.05
Sox18	3.13	0.19	0.02	0.01	0.25	0.02	0.47	0.01	0.24	0.14	0.07	0.16	0.08	0.02
Plvap	3.59	0.1	0.12	0.1	0.33	0.13	0.04	0.09	0.11	0.03	0.1	0.14	0.15	0.06
Tie1	3.15	0.05	0.03	0.06	0.54	0.09	0.05	0.03	0	0	0.07	0.03	0.02	0.07
Kdr	3.17	0.28	0.02	0.05	0.13	0.12	0.14	0.04	0.15	0.08	0.11	0.12	0.17	0.01
Emcn	3.8	0.12	0	0.19	0.61	0.1	0.09	0.04	0.1	0.02	0.16	0.12	0.17	0.07
Ly6c1	3.25	0.1	0.02	0.28	0.09	0.08	0.06	0.07	0.23	0.19	0.08	0.91	0.06	0.18
Cd34	3.67	0.15	0.04	0.6	0.09	0.16	0.09	0.04	0.2	0.3	0.1	0.4	0.19	0.09
Pecam1	3.47	0.13	0.03	0.55	0.07	0.25	0.06	0.03	0.16	0.11	0.08	0.1	0.19	0.21
Tek	2.7	0.15	0.01	0.03	0.98	0.02	0.03	0.05	0.19	0.6	0.02	0.07	0	0
Gpr116	3.17	0.52	0.04	0.08	0.89	0.07	0.59	0.07	0.06	0.21	0.03	0.08	0.1	0.09
Gimap4	2.47	0.02	0.01	0.22	0.01	0.03	0.01	0.02	0.02	0.03	0.04	0.05	0	0.06
Mmrn2	2.86	0.08	0.04	0.09	0.23	0.07	0.05	0.04	0.06	0.09	0.09	0.11	0.18	0.07
Robo4	2.95	0.02	0.02	0.04	0.02	0.05	0.02	0	0.02	0.04	0.06	0.03	0.08	0.01
Eltd1	3.12	0.07	0.02	0.22	0.04	0.05	0.03	0.02	0.01	0.04	0.03	0.01	0.02	0.12
Cdh5	2.99	0.11	0.03	0.13	0.03	0.08	0.02	0.01	0.01	0	0.01	0.02	0	0.01
Ecscr	2.73	0.05	0.14	0.02	0.14	0.03	0.02	0.03	0.06	0.02	0.02	0.02	0	0.02
Myct1	2.47	0.05	0	0.07	0.01	0.02	0	0	0.01	0	0	0	0.03	0.01
Ushbp1	2.75	0.08	0.06	0.02	0.03	0.02	0.02	0.01	0.04	0.05	0.06	0.06	0.02	0.03
